head,type,tail
two stage,facet of,deep neural network
semi supervised training,facet of,partial labelling
pseudo labels,subclass of,labelling
semi supervised,subclass of,supervised
labelled test dataset,subclass of,mAP
Microplastic (MP) pollution,has effect,harmful effects on human health
harmful effects on human health,has cause,Microplastic (MP) pollution
MP exposure,subject has role,bidirectional modulatory
Salzburg,country,Austria
Austria,contains administrative territorial entity,Salzburg
last ten years,point in time,last ten years
Habitat generalist,opposite of,habitat specialist
habitat specialist,opposite of,Habitat generalist
effects of climate warming,has effect,currently increasing impact
currently increasing impact,has cause,effects of climate warming
ubiquistic,opposite of,sedentary species
sedentary species,opposite of,ubiquistic
Grey fractions,opposite of,brown fractions
brown fractions,opposite of,Grey fractions
MS GC,subclass of,Pyrolysis
Chaharmahal,country,Iran
Bakhtiari,country,Iran
chlorotic pomegranate trees,opposite of,non chlorotic trees
non chlorotic trees,opposite of,chlorotic pomegranate trees
YLP,different from,GLP
GLP,different from,YLP
Al,has part,Mn
Cu,has part,Mn
Fe,has part,Mn
Na,has part,Mn
Zn,has part,Mn
Mn,has part,Al
Mn,has part,Cu
Mn,has part,Fe
Mn,has part,Na
Mn,has part,Zn
ARB,has effect,ARGs
ARGs,has cause,ARB
University of Oxford,country,United Kingdom
cold temperatures,opposite of,warm temperatures
warm temperatures,opposite of,cold temperatures
warm temperatures,opposite of,intermediate temperatures
FD,instance of,taxa
thermophilization,has effect,functional diversity
homogenisation,facet of,taxonomic composition
intermediate temperature adapted taxa,opposite of,warm temperature adapted taxa
warm temperature adapted taxa,opposite of,intermediate temperature adapted taxa
various phenotypes,has cause,Klebsiella pneumoniae
complementation,subclass of,Gene knockout
CR hvKP,subclass of,ST15
rdar phenotype,opposite of,typical morphologies
typical morphologies,opposite of,rdar phenotype
classical,opposite of,novel PKCs
novel PKCs,opposite of,classical
C1 domain,part of,pseudo substrate region
domains,part of,pseudo substrate
β strand,subclass of,membrane binding element
Tyr,instance of,residue
surface to volume ratio,facet of,functionalized
XRD,studies,spectral band
spectral band,studied by,XRD
AO PANNM,has part,Ag
AO PANNM,has part,Cu
PANNM,instance of,swelling ratio
PANNM,has part,PANNM
PANNM,part of,PANNM
3rd cycle test,has part,BM PANNM
BM PANNM,part of,3rd cycle test
COS 7,subject has role,Amidoximation
PANNM,part,PANNM
BM PANNM,has part,LDH
UV Vis Spectrophotometry,subclass of,SEM
poly dispersed,subclass of,crystallite
Maximum activity,opposite of,least activity
least activity,opposite of,Maximum activity
radical scavenging,subclass of,Antioxidant
alpha amylase,subject has role,Antidiabetic
bitter melon,taxonomic type,Momordica charantia
Momordica charantia,parent taxon,bitter melon
metabolite profiles,facet of,microbial richness
differential bacteria,has part,SMB53
SMB53,part of,differential bacteria
EGFR inhibitor,medical condition treated,EGFR mutated lung cancer
EGFR mutated lung cancer,drug used for treatment,EGFR inhibitor
severe adverse effects,has cause,rapid resistance development
rapid resistance development,has effect,severe adverse effects
KP2187,subject has role,EGFR inhibitor
cobalt chelation,has part,EGFR
erlotinib,subject has role,EGFR inhibitory drug
gefitinib,subject has role,EGFR inhibitory drug
sunitinib,subject has role,VEGFR inhibitor
EGFR VEGFR inhibitor combination therapies,has part,EGFR
Brazilian Amazon,country,Brazil
Amazon,country,Brazil
TLR2,part of,TLR4
TLR4,has part,TLR2
Biologics,use,crop protection agent
CNKI,instance of,clinical registration database
incidence of adverse events,facet of,Safety
Cochrane Q statistics,use,Heterogeneity
mean endpoint scores,facet of,Heterogeneity
Personal Protective Equipment,facet of,COVID 19 pandemic
Kanyakumari,country,India
Blood fed,different from,sugar fed
sugar fed,different from,Blood fed
New Delhi,located in the administrative territorial entity,Delhi
Delhi,contains administrative territorial entity,New Delhi
Kraków,country,Poland
Poland,capital,Kraków
blood fed,different from,sugar fed
sugar fed,different from,blood fed
Ae.,instance of,resting temperature
blood fed,opposite of,sugar fed
sugar fed,opposite of,blood fed
Anti Atlas Mountains,country,Morocco
USDA 257,has part,Sinorhizobium BJ1
Sinorhizobium BJ1,part of,USDA 257
185 words,point in time,185
Variability in shell structure,instance of,evolutionary mechanism
interspecies variation,opposite of,intraspecies variation
intraspecies variation,opposite of,interspecies variation
NaturePatternMatch,use,scale invariant feature transform analysis
Vitamin B6,instance of,B6
levodopa,medical condition treated,gastrointestinal dysfunction
Abnormal B6 levels,instance of,41.4% relative frequency
Low B6 levels,opposite of,high B6 levels
high B6 levels,opposite of,Low B6 levels
levodopa,subject has role,Vitamin B6
carbidopa,subject has role,Vitamin B6
levodopa carbidopa,has part,levodopa
PwPD,has part,vitamin B6
vitamin B12,instance of,vitamin supplement
folate,instance of,vitamin supplement
homocysteine,instance of,vitamin supplement
methylmalonic acid,instance of,vitamin supplement
MHC I,subclass of,antigenic peptide
source of APSs,facet of,APS
therapeutic intervention,facet of,self recognition
MCR ALS,subclass of,Raman imaging
further studies,facet of,clinical application
Chrysomela aeneicollis,parent taxon,montane leaf beetle
dry,opposite of,snowy
snowy,opposite of,dry
Sierra,instance of,mountain
neutral,subclass of,charges
Murashige Skoog,instance of,liquid medium
management strategy,facet of,Civil engineering
Lemna minor,parent taxon,Lepidium sativum
non hazardous waste landfills,applies to jurisdiction,European Union
IBA,subclass of,shear strength
valorisation,facet of,circular economy
ROCK pathway,has part,RhoA
Indian mustard,parent taxon,Brassica juncea
Indian mustard,instance of,Phenotypic
ShuiDong,said to be the same as,SD
SD,said to be the same as,ShuiDong
Kyoto Encyclopedia of Genes and Genome,has part,KEGG
KEGG,part of,Kyoto Encyclopedia of Genes and Genome
Cysteine,has part,Hg(II)
Farm exposure,has effect,farm effect
farm effect,has cause,Farm exposure
12 LOX,different from,12R LOX
12S LOX,different from,12R LOX
12R LOX,different from,12 LOX
12R LOX,different from,12S LOX
H bonding,subclass of,hydrophobic interaction
Claisen Schmidt condensation,product or material produced,2 aryl quinolines
New South Wales,located in the administrative territorial entity,Australia
Australia,contains administrative territorial entity,New South Wales
Social capital,facet of,social influences
New South Wales,country,Australia
collective agency,opposite of,institutional trust
institutional trust,opposite of,collective agency
PubMed,has part,Medline
case of disagreement,participant,examiner
non canonical roles,facet of,TCAC
Sweden Cancerome Analysis Network   Breast Initiative,country,Sweden
non small cell lung cancer,drug used for treatment,durvalumab
durvalumab,medical condition treated,non small cell lung cancer
locoregional control,facet of,locoregional
stereotactic body radiotherapy,instance of,treatment modality
SBRT,different from,NFRT
NFRT,different from,SBRT
1788 unique reports,point in time,1788
definitive tumor,subclass of,nodal SBRT
grade 5 toxicity,subclass of,severe side effects
locoregional control,subclass of,biologically effective dose
Ischemia Reperfusion induced (IR) Acute Kidney Injury,drug used for treatment,Curcumin
ACSL4,part of,IR group
GPx4,part of,IR group
permeability barrier,part of,nuclear pore complex
nuclear pore complex,has part,permeability barrier
FG motif,has part,interact with each other
FG motif,has part,mediating their translocation
interact with each other,part of,FG motif
mediating their translocation,part of,FG motif
homotypic,different from,heterotypic
heterotypic,different from,homotypic
binding interface,studied by,structural analysis
Glanzmann thrombasthenia,has cause,αIIbβ3
G128S,subclass of,β propeller mutations
S287L,subclass of,β propeller mutations
G357S,subclass of,β propeller mutations
β propeller structure,studied by,Stability analysis
Follicular regulatory T,subclass of,effector regulatory T
Treg cells,subclass of,follicular helper T (Tfh) cells
Tfr cell,part of,immune microenvironments
immune microenvironments,has part,Tfr cell
promoter DNA,part of,nik
ER,has part,lumen
lumen,part of,ER
Hutchinson Gilford progeria syndrome,subclass of,premature aging disease
ER stress response,part of,HGPS
HGPS,has part,ER stress response
CD8,subclass of,T cells
intravenous injection,uses,vein
reproducible,subclass of,reproducible
MexCD OprJ,subject has role,efflux pump
MexEF OprN,subject has role,efflux pump
disk agar diffusion,subclass of,MDR isolate
MexCD OprJ,instance of,efflux pump
MexEF OprN,instance of,efflux pump
MexEF OprN,part of,efflux pump
MexCD OprJ,part of,efflux pump
already available,subclass of,clinically approved substances
gossypol,instance of,polyphenolic
ER,part of,intercellular movement
intercellular movement,has part,ER
ER luminal proteins,part of,PD
ER integral membrane proteins,part of,PD
PD,has part,ER luminal proteins
PD,has part,ER integral membrane proteins
immunolocalization,subclass of,transmission electron microscopy
In vitro,different from,in vivo
in vivo,different from,In vitro
scratch assay,use,Cell proliferation
CM3 group,has part,AME
G LISA,subclass of,ELISA
αvβ3 integrin dependent suppression of Fyn kinase phosphorylation,part of,Rac1 GTPase/NADPH oxidase/ cofilin1signaling pathway
real time PCR,subclass of,polymerase chain reaction
vitrification,opposite of,rapid freezing
refractive surgery,subclass of,eye surgery
Trans PRK surgery,uses,amniotic membrane extracted eye drop
random allocation,subclass of,Randomization
AMEED,subclass of,artificial tear drop
AMEED,medical condition treated,CED
Trans PRK surgery,different from,Trans PRK surgery
sfrp1/2/5,encodes,sfrp
sfrp3/4,encodes,sfrp
knockdown,has effect,evisceration
evisceration,has cause,knockdown
AB anlage,subclass of,connective tissue
AB regeneration,has cause,evisceration
evisceration,has effect,AB regeneration
digestive tube,part of,gut anlage
University of Groningen,country,Netherlands
Groningen,country,Netherlands
Netherlands,contains administrative territorial entity,Groningen
plant self incompatibility,instance of,long term balancing selection
Gansu,shares border with,Ningxia
Gansu,shares border with,Inner Mongolia
Ningxia,shares border with,Gansu
Ningxia,shares border with,Inner Mongolia
Inner Mongolia,shares border with,Gansu
Inner Mongolia,shares border with,Ningxia
Artemisia argyi Lévl,parent taxon,Ai
Van.et Van.,country,Belgium
Artemisia kanashiroi Kitam,spouse,Kitam
Kitam,spouse,Artemisia kanashiroi Kitam
ChIP Seq,subclass of,chromatin immunoprecipitation sequencing
ChIP Seq,use,RNA sequencing
EZH2,has part,H3K27me3
tricarboxylic acid cycle,subclass of,metabolic rewiring
Volcanism,has effect,mass extinction
mass extinction,has cause,Volcanism
La Garrotxa Volcanic Field,located in the administrative territorial entity,Girona
sedimentary sequence,studied by,stratigraphy
stratigraphy,studies,sedimentary sequence
hydrology,part of,palaeoenvironmental
Metarhizium rileyi,has effect,EPF
EPF,has cause,Metarhizium rileyi
cecropin 3,subject has role,AMPs
lebocin,subject has role,AMPs
evade,opposite of,suppress host immunity
suppress host immunity,opposite of,evade
citrate synthase,part of,Mitochondrial
Matsuda index,instance of,IQR
MET minutes/week,instance of,Actigraph measured time on physical activity
SWI/SNF,subclass of,chromatin remodeling complexes
ATPase,opposite of,counterpart
counterpart,opposite of,ATPase
SLC38A2,subclass of,GLUT1
dietary deprivation,different from,alanine supplementation
alanine supplementation,different from,dietary deprivation
high throughput Functional Libraries,subclass of,sequence space
chromophore binding pocket,part of,GFP
96 °C,instance of,functional thermostability
retinal synucleinopathy,has cause,α synuclein PFFs
α synuclein PFFs,has effect,retinal synucleinopathy
central co expressed genes,facet of,Alzheimer's disease
parbendazole,has part,SA 25547
synaptic glutamate signalling,facet of,Alzheimer's disease
parbendazole,medical condition treated,Alzheimer's
Alzheimer's,drug used for treatment,parbendazole
Myocardial infarction,has effect,post MI heart failure
post MI heart failure,has cause,Myocardial infarction
Ultra High Performance Liquid Chromatography,subclass of,Mass Spectrometer
partial least squares discriminant analysis,uses,differential expression
MI,different from,pMIHF
pMIHF,different from,MI
pMIHF,subclass of,MI
BNP,opposite of,BUN
BUN,opposite of,BNP
lipid biomarker,use,predict and diagnose patients with pMIHF
FL3,instance of,flavagline
PHB1,part of,CRPC
CRPC,has part,PHB1
PHB1,subject has role,gain/loss of function analyses
Enzalutamide,subject has role,anti androgen
ENZ sensitive CRPC,subclass of,CRPC
Lactobacillaceae,parent taxon,Bacillaceae
multi habitat species,subclass of,habitat specific
PROTECT,main subject,flow mediated vasodilation
after 24 months,subclass of,FMD
significant difference,subclass of,estimated percentage change
jRCT1071220089,instance of,Registration Number for Clinical Trial
Salmonella,has effect,gastroenteritis disease
gastroenteritis disease,has cause,Salmonella
Salmonella infection,has cause,Alistipes
Alistipes,has effect,Salmonella infection
murine,part of,gut
gut,has part,murine
Lactobacillus,instance of,commensals
Enterococcus,instance of,commensals
PEG model,main subject,recurrent bacterial seasonal trends
Hook,located in the administrative territorial entity,Hook
traditional medicine,subclass of,economically important
Pholidota,instance of,cp.
A,follows,U
U,followed by,A
tandem repeat,subclass of,Repeat sequence
palindromic repeat,subclass of,Repeat sequence
dispersed repeat,subclass of,Repeat sequence
InDels,subclass of,SNPs
Pholidota,taxonomic type,Pholidota s.s.
Pholidota s.s.,parent taxon,Pholidota
Coelogyninae,parent taxon,Pholidota
extraction,subclass of,analytical protocol
high resolution mass spectrometry,uses,ionization
linearity,subclass of,matrix effect
Bacterial meningitis,has cause,Salmonella
Salmonella,has effect,Bacterial meningitis
Salmonella meningitis,country,Belgian
clinical examination,studies,general state
general state,studied by,clinical examination
Salmonella,subclass of,serovar
historical cases,country,Guinea
radio sensitizers,subclass of,chemo 
amygdalin folic acid nanoparticles,subclass of,radio sensitizer
Nanoparticle,subject has role,Amy F release
CD4,part of,cluster of differentiation
CD80,part of,cluster of differentiation
Amy F,has part,RT
RT,part of,Amy F
Jasminum humile L,parent taxon,Oleaceae
HPLC,product or material produced,PDA MS/MS
PDA MS/MS,developer,HPLC
Snakebite,has cause,venomous snake
venomous snake,has effect,Snakebite
Iran,contains administrative territorial entity,some parts of the country
some parts of the country,located in the administrative territorial entity,Iran
Kopet Dagh,mountain range,Zagros
SourceTracker2,use,indoor planting rooms
first/second line therapy,facet of,Malignant pleural mesothelioma
Drug induced mitochondrial priming,subclass of,BH3 profiling
navitoclax,subject has role,BCL xL/BCL 2/BCL w antagonist
AZD8055,medical condition treated,navitoclax
navitoclax,drug used for treatment,AZD8055
Navitoclax,has part,MCL 1
MCL 1,part of,Navitoclax
omics,subclass of,data integration
pros,opposite of,cons
cons,opposite of,pros
Mediterranean Sea,shares border with,Atlantic Ocean
Atlantic Ocean,has part,Mediterranean Sea
RuBisCO,part of,Calvin Benson Bassham cycle
Urechidicola,parent taxon,Flavobacteriaceae
Severe fever with thrombocytopenia syndrome virus,has effect,severe fever with thrombocytopenia syndrome
severe fever with thrombocytopenia syndrome,has cause,Severe fever with thrombocytopenia syndrome virus
morphogen gradient,facet of,growth regulation
Dpp,instance of,morphogen
fermented milk,has part,Lactiplantibacillus plantarum ZJ316
fermented milk,medical condition treated,IBD
propionic acid,instance of,short chain fatty acid
butyric acid,instance of,short chain fatty acid
pentanoic acid,instance of,short chain fatty acid
isobutyric acid,instance of,short chain fatty acid
nonlactating,subclass of,gestation
Intracranial aneurysm,has effect,nontraumatic subarachnoid hemorrhage
nontraumatic subarachnoid hemorrhage,has cause,Intracranial aneurysm
UIA instability,subclass of,aneurysm rupture
cytokine profiling,subclass of,Metabolomics
interleukin 1β,encodes,tumor necrosis factor α
OA,subclass of,UIA instability
AA,subclass of,UIA instability
IL 1β,subclass of,UIA instability
TNF α,subclass of,UIA instability
instability classifier,use,risk of UIA instability
TNF α,has part,IL 1β
UIA instability,subclass of,UIAs
polygenic risk score,facet of,susceptibility variants
7q36,part of,10q22
10q22,has part,7q36
PRS,instance of,stratify lifetime risk
PIWI interacting RNA,subclass of,foreign transcripts
maintenance process,opposite of,initiation process
initiation process,opposite of,maintenance process
reporter,subclass of,reporter
Integrator complex,has part,pre mRNA splicing factors
pre mRNA splicing factors,part of,Integrator complex
Integrator complex,product or material produced,snRNA
NPP 1/Nup54,part of,NPP 6/Nup160
NPP 1/Nup54,part of,NPP 7/Nup153
NPP 6/Nup160,has part,NPP 1/Nup54
NPP 6/Nup160,has part,NPP 7/Nup153
NPP 7/Nup153,has part,NPP 1/Nup54
NPP 7/Nup153,has part,NPP 6/Nup160
genome surveillance pathway,subclass of,RNA processing
acutely decompensated heart failure,has cause,ECG
well controlled,subclass of,clinical settings
ADHF prediction,subclass of,ECG
ECGX Net,use,deep cross modal feature learning
DenseNet121,based on,ImageNet
VGG19,based on,ImageNet
cross modal,subclass of,feature learning
VGG19,use,support vector machine
Noninvasive imaging,use,diagnose meningioma
polyhedrocyte,has part,RBCs
hemostatic disorder,subclass of,bleeds
Hyaluronic Acid,subject has role,pre drugs
cross link,subclass of,bond
HA,instance of,drug delivery system
CEREDIH,instance of,national registry
neonatal features,facet of,pregnancy course and outcome
pregnancy termination,subclass of,obstetrical outcome
anti infective,subclass of,prophylaxis
Pregnancy,has cause,PID
PID,has effect,Pregnancy
pregnancy termination,subclass of,Fetal loss
spread of antimicrobial resistance worldwide,has cause,Acinetobacter baumannii
1985,point in time,1985
Culture Collection University of Göteborg,country,Sweden
sul2,follows,sul1
sul1,followed by,sul2
ST52,different from,ST1
ST1,different from,ST52
immune checkpoint blockade,facet of,small cell lung cancer
CheckMate 032,instance of,phase 1/2 trial
pretreatment,facet of,SCLC tumor
SCLC A,subclass of,SCLC
 N,subclass of,SCLC
 P,subclass of,SCLC
 Y,subclass of,SCLC
CD8+,subclass of,T cells
Tumor antigen processing and presentation,facet of,SCLC
epigenetically suppressed,subclass of,antigen presentation machinery
SH SY5Y,instance of,cell model
Rotenone,subject has role,DNT positive compound
valproic acid,subject has role,DNT positive compound
acrylamide,subject has role,DNT positive compound
methylmercury chloride,subject has role,DNT positive compound
Tolbutamide,subject has role,DNT negative compound
D mannitol,subject has role,DNT negative compound
clofibrate,subject has role,DNT negative compound
RT qPCR,studies,Gene expression
neurite,has part,Methylmercury
Methylmercury,has part,0.8nM
DNT negative compounds,opposite of,DNT positive compounds
DNT positive compounds,opposite of,DNT negative compounds
sagittal intermediate weighted (IW) fat suppressed (FS),subclass of,MRI
receiver operating characteristic,subclass of,precision recall
specificity,subclass of,ROC AUC
ROC curve,use,informative
ROC AUC,different from,PR AUC
PR AUC,different from,ROC AUC
Fibonacci series,has part,visible spiral
transcription factor 6α,part of,essential arms of UPR
essential arms of UPR,has part,transcription factor 6α
trojan horse approach,subclass of,cancer therapeutics
ARL13B,subclass of,GTPase
kidney cysts,has cause,ablation of cilia
ARL13B,has effect,Autosomal recessive spastic ataxia of the Charlevoix Saguenay
NK cell biology,studies,NK cell
NK cell,studied by,NK cell biology
Perivascular epithelioid cell tumor,subclass of,mesenchymal tumor
PEComa,subclass of,morphologic mimics
endometrial stromal sarcomas,subclass of,leiomyosarcomas
nuclear staining,subclass of,Tumors
diffuse positivity,has part,PRAME
HMB45,subclass of,Melan A staining
PRAME,subclass of,Melan A staining
PRAME specific immunotherapies,medical condition treated,PEComas
PEComas,drug used for treatment,PRAME specific immunotherapies
Immunoglobulin,has part,B cell receptor
B cell receptor,part of,Immunoglobulin
memory B cell,subclass of,B cell
Polygonum,taxonomic type,cuspidatum
cuspidatum,parent taxon,Polygonum
IHC,subclass of,Real Time PCR
exendin 4,subject has role,GLP 1 receptor agonist
exendin 4,has effect,body weight gain
body weight gain,has cause,exendin 4
IL 6,has part,IL 1β
IL 1β,part of,IL 6
NRF2,has cause,IRG1 deficiency
ATF3,has effect,IRG1 deficiency
IRG1 deficiency,has effect,NRF2
IRG1 deficiency,has effect,ATF3
dominant effect,subclass of,interaction effect
SMZ,has part,Cr(VI)
Cr(VI),part of,SMZ
Chlorella pyrenoidosa,parent taxon,Microalgae
Scenedesmus obliquus,parent taxon,Microalgae
Chlorella sorokiniana,parent taxon,Microalgae
higher protein content,named after,S. obliquus
INS1E,subclass of,β cell lines
Min6,subclass of,β cell lines
eIF2α,subclass of,translation initiation factor
ISRIB,subject has role,integrated stress response inhibitor
FAM86A,subclass of,lysine methyltransferase
FAM86A,subclass of,KMTs
S Adenosyl methionine,subclass of,co factor binding domain
AlphaFold,use,X ray crystallography
EEF2K525,subclass of,methyl antibody
FAM86,instance of,structural domain
double stranded RNA,subclass of,RNA
AZIN1,instance of,coding sites
AZIN1,subclass of,RNA editing
Azin1,subclass of,Adar1
mature mRNA,opposite of,precursor mRNA
precursor mRNA,opposite of,mature mRNA
ADAR1,instance of,coding sites
Azin1,subclass of,RNA editing
Adar1,subclass of,RNA editing
PDAC,subclass of,cancer stroma crosstalk
Hepatocellular carcinoma,has cause,liver cirrhosis
liver cirrhosis,has effect,Hepatocellular carcinoma
CHB,subclass of,HCC
ROMA test,has part,HE4
HE4,part of,ROMA test
1418 clinical trials,point in time,1418
PCC 6803,point in time,6803
PKN2 type,subclass of,serine/threonine protein N2 like kinase
ABC1 type,subclass of,activity of bc1 complex
PKN2 type kinase,opposite of,ABC1 type kinase
ABC1 type kinase,opposite of,PKN2 type kinase
ABC1 type,subclass of,STPK
Gasdermin family,subclass of,effector protein
Kane'ohe Bay,located on terrain feature,O'ahu
2014 2015 heatwaves,point in time,2014
Cerebral cavernous malformation,subclass of,vascular lesion
group signaling,facet of,CCM pathogenesis
MEKK3,part of,MEK5
MEK5,has part,MEKK3
CCM pathogenesis,facet of,CCM disease
CCM disease,subclass of,CCM
R loops,part of,DNA
FMR1,product or material produced,FMRP
Our study,main subject,FXS
time resolved differentiation,subclass of,single cell resolution
trophoblast,instance of,cell state
hypoblast,instance of,cell state
high throughput,subclass of,imaging pipeline
gastruloid core,has part,peripheral cells
peripheral cells,part of,gastruloid core
radial symmetry,followed by,axial elongation
axial elongation,follows,radial symmetry
Peking University,country,China
China,contains administrative territorial entity,Peking University
Macaronesia,instance of,ecologically relevant region
Macaronesia,has part,Azores
Macaronesia,has part,Madeira
Macaronesia,has part,Canary Islands
Macaronesia,has part,Cabo Verde
Azores,part of,Macaronesia
Madeira,part of,Macaronesia
Canary Islands,part of,Macaronesia
Cabo Verde,part of,Macaronesia
Azores,shares border with,Cabo Verde
Cabo Verde,shares border with,Azores
marine biological invasions,location,Macaronesia
groove binding,subclass of,multi site binding
crown primate,studied by,Morphological
Eastern gray squirrel,parent taxon,Sciurus
launching supports,subclass of,force platform
ergometric,studies,jumping
jumping,studied by,ergometric
locomotor behavior,has part,jumping
oral delivery,location,gastrointestinal (GI) tract
marker independent EV detection,uses,Curvature sensing peptide
random coil,followed by,α helix
α helix,follows,random coil
tyrosine modified PEI,subclass of,serum protein
serum albumin,subclass of,serum protein
branched,subclass of,PEI
dynamic light scattering,subclass of,transmission electron microscopy
α helix,subclass of,secondary structures
Complex formation,studied by,TEM
Maya,location of formation,Mesoamerica
Montes Azules Biosphere Reserve,located in the administrative territorial entity,Chiapas
Montes Azules Biosphere Reserve,country,Mexico
Chiapas,located in the administrative territorial entity,Mexico
Mexico,contains administrative territorial entity,Chiapas
extraction processes,product or material produced,biological molecules
GMC,subsidiary,OSIMN
OSIMN,parent organization,GMC
spectrophotometer,use,quantitatively detected
GCTT,has parts of the class,GCTT
S,opposite of,EC
EC,opposite of,S
S C,opposite of,EC
EC,opposite of,S C
EC,part of,NS GCTT
NS GCTT,has part,EC
GCTT,studied by,pathogenetic model
IFI16,subclass of,DNA sensor
supercoiled DNA,subclass of,DNA
IFI16,has part,IFI16 DNA binding
IFI16 DNA binding,part of,IFI16
DNA,studied by,atomic force microscopy
atomic force microscopy,studies,DNA
oligomer,subclass of,globular complex
HIN A,subclass of,domains
HIN B,subclass of,domains
Osimertinib,subject has role,third generation tyrosine kinase inhibitor
carbon 11 labeled osimertinib,instance of,tracer
Haematopoietic,subclass of,haematological malignancies
Obese Subjects intervention study,country,Swedish
single timepoint,followed by,multiple timepoint
HDL cholesterol,different from,Low HDL C
Low HDL C,different from,HDL cholesterol
Swedish Research Council,country,Swedish state
Swedish government,country,Swedish state
county councils,country,Swedish state
ALF (Avtal om Läkarutbildning och Forskning) agreement,country,Swedish state
Swedish Heart Lung Foundation,country,Swedish state
Novo Nordisk Foundation,country,Swedish state
European Research Council,country,Swedish state
Netherlands Organisation for Scientific Research,country,Swedish state
cardia GC,part of,gastro oesophageal junction
oesophageal adenocarcinoma,has effect,Barrett's oesophagus
Barrett's oesophagus,has cause,oesophageal adenocarcinoma
GWAS,has part,transcriptome wide association study
GWAS,has part,expression quantitative trait locus
transcriptome wide association study,part of,GWAS
expression quantitative trait locus,part of,GWAS
GC,subclass of,risk loci
corpus,connects with,antrum mucosa
antrum mucosa,connects with,corpus
blood group 0,opposite of,blood group A
blood group A,opposite of,blood group 0
German Research Foundation,parent organization,DFG
DFG,subsidiary,German Research Foundation
twospot,taxonomic type,Astyanax bimaculatus
Astyanax bimaculatus,parent taxon,twospot
Female,opposite of,Males
Males,opposite of,Female
non diabetic controls,subclass of,type 1 diabetes
Coronary Artery Calcification in Type 1 Diabetes,part of,Barbara Davis Center for Diabetes Adult Clinic
probing depth,subclass of,periodontal exam
Brachial artery distensibility,instance of,measures of subclinical cardiovascular structure and function
carotid intima media thickness,instance of,measures of subclinical cardiovascular structure and function
brachD,subclass of,attachment loss
PD,has effect,CVD
CVD,has cause,PD
metformin,medical condition treated,DM type 2
DM type 2,drug used for treatment,metformin
hypertension + type 2 DM,has part,type 2 DM
Hypertension + DM type 2,has part,DM type 2
total thiols,has part,vitamin C
statistical significance,facet of,alterations in mineral levels
MPO,has effect,PSH
PSH,has cause,MPO
Metabolic disorder,has cause,chemical process
chemical process,has effect,Metabolic disorder
Raman spectroscopy,studies,chemical compositions
Heyn Sproul Jackson syndrome,has cause,DNMT3A
cardiac investigations,studies,bi ventricular systolic function
bi ventricular systolic function,studied by,cardiac investigations
Molecular adaptation of deep sea proteins to high hydrostatic pressure,facet of,hydrostatic pressure
Coryphaenoides armatus,parent taxon,abyssal fish
N terminal,subclass of,truncation
docetaxel,instance of,taxanes
docetaxel,instance of,taxane
cabazitaxel,instance of,taxane
β tubulin,instance of,crystal structure
WT,part of,β tubulin
MT,part of,β tubulin
β tubulin,has part,WT
β tubulin,has part,MT
docetaxel,subject has role,binding energy
MT,has part,β tubulin
β tubulin,part of,MT
WT,has part,β tubulin
β tubulin,part of,WT
D26E,instance of,single point mutation
quasi movement,subclass of,covert action
OM,subclass of,electromyography
IM,subclass of,electromyography
QM,subclass of,electromyography
OM,subclass of,sensory feedback
OM QM IM continuum,different from,QM/OM
QM/OM,different from,OM QM IM continuum
welfare,has part,reward
reward,part of,welfare
resting level,has part,Cortisol
Cas9,part of,CRISPR/Cas9 mutagenesis
T cell receptor,part of,T cell
CD8+ T cells,subclass of,T cell
Saccharomyces boulardii,instance of,taxonomic domain
Streptococcus salivarius K12,instance of,taxonomic domain
tandem mass spectrometry,uses,liquid chromatography coupled
Dehydrin,subclass of,late embryogenesis abundant
ABRE,instance of,cis acting element
abscisic acid,instance of,cis acting element
detached potato tuber experiment,studies,potato tuber
potato tuber,studied by,detached potato tuber experiment
Infinito,instance of,chemical pesticide
HIV 1 associated blood brain barrier,subclass of,neurocognitive disorders
occludin,subclass of,tight junction protein
Pericyte,subclass of,NVU
OAS1,part of,OAS family
OAS2,part of,OAS family
OAS3,part of,OAS family
OASL,part of,OAS family
OAS family,has part,OAS1
OAS family,has part,OAS2
OAS family,has part,OAS3
OAS family,has part,OASL
HIV,has effect,1
cell density,facet of,Cell behavior
Hippo,part of,mTOR
enzyme linked immune assay,facet of,GM
lateral flow assay,subclass of,single sample testing
Norman,country,USA
Oklahoma,country,USA
USA,contains administrative territorial entity,Oklahoma
Tianjin,country,China
China,contains administrative territorial entity,Tianjin
centre,has part,LFAs
LFAs,part of,centre
GM EIA,use,confirmatory
LFA,replaces,GM EIA
GM EIA,replaced by,LFA
type of LFA,subclass of,LFA
IMMY,different from,OLM LFA
OLM LFA,different from,IMMY
Hospital,subclass of,Hospitals
Europe,part of,rest of the world
rest of the world,has part,Europe
variable performance,facet of,LFA test
M19,subject has role,mutagen
M26,subject has role,mutagen
M28,subject has role,mutagen
flask culture,subclass of,fermenter
curative intent treatment,subclass of,emergency surgery
cox regression,subclass of,multivariable
primary tumor resection,subclass of,systemic treatment
primary tumor resection,different from,systemic treatment
systemic treatment,different from,primary tumor resection
primary tumor resection,has effect,OS
OS,has cause,primary tumor resection
Palliative primary tumor resection,subclass of,palliative systemic treatment
residual bias,has effect,significant role
significant role,has cause,residual bias
Single targeted antigen,medical condition treated,MM
