head,type,tail
cell free therapies,subclass of,cell
cell free,subclass of,synthetic biology
cell function regulator,part of,cell
cell growth,subclass of,cellular processes
cell homogenization,subclass of,purified protein
cell identity,studied by,epigenetic
cell laden hydrogel,has part,vasculature
cell line model,subclass of,experimentally validated
cell line,studied by,Animal model
cell line,subclass of,cell
cell line,has effect,cell growth
cell line,subclass of,cultured cell lines
cell line,part of,cytoplasm
cell line,has part,genome
cell line,use,in vitro
cell line,part of,tissue
cell lineage plasticity,subclass of,cell differentiation
cell lines,part of,tissue
cell lines,part of,tumor
cell lysis buffer,has effect,RT nestRPA
cell lysis,subclass of,bio responses
cell membrane proteins,subclass of,intracellular
cell membranes,part of,cell
cell migration,subclass of,asymmetry
cell migration,studied by,mathematical models
cell morphology,part of,cell
cell nucleus,part of,epidermis
cell nucleus,part of,tissue
cell number,different from,cell size
cell plasticity,facet of,wound healing
cell polarity,facet of,plant cell
cell progression,facet of,tumor
cell proliferation,has cause,cell differentiation
cell proliferation,subclass of,cell proliferation
cell proliferation,has effect,cellular ATP demand
cell proliferation,has cause,growth factor
cell proliferation,opposite of,in vivo
cell proliferation,has effect,migration
cell proliferation,has effect,wound healing
cell quality,facet of,cellular composition
cell rounding,part of,cell body
cell scaffold,subclass of,preparation
cell secretome,part of,cell surface
cell secretome,part of,tumor microenvironment
cell section,subclass of,thin
cell senescence,has cause,stemness
cell separation,subclass of,regeneration
cell signaling,studied by,optogenetics
cell size,different from,cell number
cell specific expression,subclass of,mechanism
cell specific localization,studied by,immunohistochemical
cell stability maintenance,has cause,cell differentiation
cell state,subclass of,biological function
cell states,different from,cell types
cell states,part of,cellular lineages
cell subtypes,part of,transcriptional profiles
cell surface,part of,cell
cell targeting,subclass of,drug discovery
cell therapy,subclass of,disease modeling
cell to cell heterogeneity,subclass of,transcriptional activation
cell to cell junction,part of,cell layer
cell to cell variability,facet of,cell signalling
cell type composition,facet of,cell type
cell type specific,subclass of,molecular probe
cell type,part of,cell
cell type,different from,cell type
cell type,part of,cellular composition
cell type,has cause,differentiate cells
cell type,part of,organoid
cell type,part of,skeletal muscle regeneration
cell type,part of,structure
cell type,part of,testicular
cell type,part of,tissue
cell types,different from,cell states
cell types,part of,cellular
cell types,part of,developmental states
cell types,part of,organism
cell types,part of,organoid
cell types,part of,tissue
cell wall integrity,part of,hypha
cell wall pathway,instance of,gene
cell wall,part of,bacterial
cell wall,part of,bacterium
cell wall,part of,cell division
cell wall,part of,cytoplasm
cell wall,part of,fungal
cell wall,part of,nucleocytoplasmic
cell wall,has part,outer membrane
cell wall,subclass of,secondary metabolites
cell wall,part of,subcellular tissues
cell,studied by,biological
cell,part of,biological system
cell,part of,building
cell,part of,ccm
cell,subclass of,cell
cell,studied by,cell biology
cell,part of,cell cell interactions
cell,has part,cell content
cell,part of,cell cultures
cell,use,cell division
cell,has part,cell membranes
cell,has part,cell morphology
cell,part of,disease
cell,part of,embryo
cell,part of,eukaryotic
cell,part of,extracellular matrix
cell,has part,fiber
cell,part of,intestine
cell,part of,life
cell,part of,microenvironment
cell,subclass of,molecular
cell,part of,npc
cell,has part,nucleolus
cell,part of,organ
cell,part of,organelle
cell,part of,organism
cell,part of,our body
cell,use,signal transduction
cell,subclass of,structure
cell,part of,tissue
cell,studied by,transcriptomic
cell,part of,tumor
cellmap,use,cross linked
cellobiohydrolase,subclass of,"β 1,4 glucosidase"
cellobiose,has part,carbon
celloscope,use,transcriptomic
cells of origin,studied by,Cell of origin analysis
cellular Potts model,instance of,cell based models
cellular biology,studies,cellular
cellular composition,studied by,Raman spectroscopy
cellular composition,studied by,neuroscience
cellular decision making,subclass of,spatiotemporally precise studies
cellular dynamics,studies,chassis
cellular energy charge,has cause,energy metabolism
cellular energy production,part of,living organisms
cellular fitness,subclass of,homeostasis
cellular function,part of,organismal health
cellular functions,facet of,immunity
cellular homeostasis,has effect,dysregulation of autophagy
cellular level,subclass of,biological processes
cellular lineages,has part,cell states
cellular membrane,has part,phospholipid
cellular network,has effect,homeostasis
cellular parameters,facet of,sperm
cellular pathways,part of,cellular level
cellular processes,part of,metabolic pathways
cellular processes,part of,tissue
cellular protein homeostasis,has part,periplasmic metabolism
cellular remodeling,subclass of,metabolism
cellular senescence,subclass of,senescence
cellular stress,has effect,inflammation
cellular support,has part,membrane
cellular systems,studied by,engineering
cellular transplantation,subclass of,sacrifice
cellular uptake,has effect,focused localization
cellular,has part,acellular
cellular,has parts of the class,cell types
cellular,studied by,cellular biology
cellular,has part,molecular
cellular,part of,organism
cellular,has part,subcellular
cellular,has part,subgroup
cellular,has part,telomere
cellular,part of,tissue
cellulase,subclass of,amylase
cellulase,use,cellulolytic
cellulase,product or material produced,cellulose
cellulase,subclass of,enzyme
cellulo,subclass of,inter protein cross linking
cellulolytic,uses,cellulase
cellulolytic,part of,microbiota
cellulose binding domain,subclass of,protein
cellulose synthase,subclass of,processive glycosyltransferase
cellulose,has part,carbon
cellulose,has part,coc
cellulosic,subclass of,microfiber
cellulosimicrobium,instance of,otus
cementum,part of,molar
cementum,part of,periodontal ligament
cenh3,part of,nucleosome
cenpa,part of,nucleosome
cenpo,has part,h3k27ac
cenpo,has part,h3k4me1
cenpo,subject has role,immunosuppression of LUAD
centile,said to be the same as,median
central LCD,part of,ncap
central clock,part of,brain
central co expressed genes,facet of,Alzheimer's disease
central competence regulator,subclass of,regulon
central complex network,has part,optic
central complex,part of,insect brain
central complex,subclass of,neuron
central coordinator,field of this occupation,communication
central nervous system,has part,axon
central nervous system,has part,brain
central nervous system,has part,cerebellum
central nervous system,has part,cns
central nervous system,has part,hippocampal neurogenesis
central nervous system,part of,human development
central nervous system,has effect,injury
central nervous system,has part,lung
central nervous system,has part,microglium
central nervous system,part of,neurological
central nervous system,has part,neuron
central nervous system,has effect,neuropathic pain
central nervous system,has part,opioid receptor
central nervous system,has part,periphery of the body
central nervous system,has part,spinal cord
central nervous system,has part,synaptogenesis
central nervous system,has part,white matter
central neurotoxicity,subclass of,neurodegeneration
central,country,China
central,part of,nervous system
centralitycosdist,instance of,algorithm
centre west,country,tunisia
centre,part of,hospital
centre,has part,lfa
centrifugal spinning,product or material produced,nanofiber
centrifuge,different from,kraken2
centrifuge,use,taxonomic classification
centrioles de novo,part of,centrosome
centromer,connects with,telomer
centromer,part of,vertebrate
centromere,part of,chromosome
centromere,part of,genome
centromere,subclass of,genomic loci
centromeric,part of,telomeric
centrosome,has part,centrioles de novo
centrosome,has part,cystic fibrosis transmembrane conductance regulator
centrosome,followed by,midbody
cep55,encodes,Centrosomal protein 55
cep55,subclass of,mrna
cep55,medical condition treated,pan cancer
ceramide metabolism,instance of,Metabolic pathway
cercospora,has effect,leaf spot disease
cereal,subclass of,food
cereal,has part,panicle
cereal,subclass of,sink organs
cerebellar,subclass of,Parkinson's disease
cerebellar,connects with,basal ganglia
cerebellum,has part,Purkinje cells
cerebellum,connects with,basal ganglia
cerebellum,part of,central nervous system
cerebellum,subclass of,cognitive impairments
cerebral cortical damage,has effect,fibromyalgia
cerebral infarction,has cause,atherosclerosis
cerebral infarction,drug used for treatment,lrrc8a
cerebral ischemia,has effect,reperfusion injury
cerebral neurodegeneration,has effect,dementia
cerebral,connects with,thalamus
cerebrospinal fluid,connects with,blood
cerebrovascular disease,subclass of,non motor symptoms
cerebrovascular reactivity,facet of,cerebrovascular health
cerebrum,has cause,SARS CoV 2
cerebrum,connects with,brainstem
cerebrum,has part,olfactory bulb
ceredih,instance of,national registry
certeza baja a muy baja,part of,método de retención en detrimento de otro
cervical ERMS,instance of,rare tumor
cervical cancer,drug used for treatment,C2 ceramide
cervical cancer,has cause,Human papillomavirus
cervical cancer,has cause,high risk human papillomavirus
cervical cancer,has cause,hpv
cervical cancer,has cause,infection
cervical cancer,drug used for treatment,xenograft
cervical intraepithelial neoplasia,subclass of,lesion
cervical squamous cell carcinoma,has cause,Epstein Barr virus
cervico cranio mandibular system,subclass of,temporomandibular disorder
cervix,part of,vagina
cervix,part of,vulva
cesa,product or material produced,CesA extraction method
cesa5,subclass of,enzyme
cesa8,subclass of,enzyme
cesarean birth,subclass of,comorbidity
cesas,subclass of,enzyme
cesb,instance of,gene
cesb,part of,upstream regulatory regions
cessation of smallpox vaccination,part of,eradication
cfn,has effect,toxicity
cfp,different from,ir
cftr,has part,apical membrane
cfu,subclass of,medium
cg,subclass of,pcg
cg,opposite of,sca3
cggc,instance of,LGG cohorts
cgi58,has effect,CGI58 deficient mouse placenta
cgm,different from,CGM WGP
cgm,has part,wgp
cgm,use,wheat phenology
cgm097,instance of,complex
cha,subclass of,af
chac,has cause,vps13a
chadox1,instance of,antibody
chaf1a,subclass of,Chromatin assembly factor 1
chaf1a,subject has role,double knockdown
chaf1a,has effect,ec
chaf1a,instance of,protein
chaharmahal,country,Iran
challenge,subclass of,data processing
chameleonic,subclass of,cyclic peptide
changes occurring prior to CRC diagnosis,has effect,crc
channel,part of,membrane
channel,part of,microfluidic
chao1,instance of,Alpha diversity indices
chaperone mediated autophagy,subclass of,selective protein degradative pathway
chaperone,part of,biochemical
chaperone,subclass of,protein
characterization,different from,particle identification
charge repulsion,subclass of,selectivity filter
charolais,part of,bom
charolais,part of,bpm
chassis,studied by,cellular dynamics
chatgpt,use,chatgpt
chatgpt,instance of,transformer
chb,subclass of,HCC
chd,subclass of,22q11ds
chd,different from,Stroke
chd,drug used for treatment,Xinkeshu tablets
chd,subclass of,atpase
chd,has cause,cardiac surgery
chd,has effect,infant deaths
chd,subclass of,interrupted time series
chd,subclass of,neurodevelopmental disorders
chd,instance of,patient groups
chd,drug used for treatment,xks
cheatomium,instance of,fungus
checkpoint blockade,subclass of,immunotherapy
checkpoint bypass,subclass of,cell cycle
checkpoint inhibitor,subclass of,chemotherapeutic drug
checkpoint inhibitor,subclass of,immune checkpoint
checkpoint inhibitor,subclass of,immune checkpoint inhibitor
checkpoint inhibitor,medical condition treated,melanoma
checkpoint,subclass of,T cells
checkpoint,facet of,cell cycle
cheese fermentation,subclass of,food fermentation
chemerin,subclass of,adipocytokine
chemical analyses,studies,aqueous extract
chemical composition,has part,antioxidant
chemical compound,studied by,enrichment analysis
chemical content,facet of,use
chemical desulfurization,opposite of,Microbial desulfurization
chemical energy,opposite of,electrical energy
chemical exposure,studied by,toxicokinetic
chemical food gradient,facet of,chemical gradient
chemical identification,subclass of,spectroscopy
chemical indicators,facet of,epidemiology
chemical mechanisms,part of,molecule
chemical peptide libraries,use,medicinal chemistry
chemical process,has effect,Metabolic disorder
chemical properties,studied by,chemical
chemical protection,has part,dsodn
chemical structure,part of,molecule
chemical synapse,subclass of,transmission
chemical synthesis,opposite of,heme biosynthesis
chemical,part of,biological
chemical,studies,chemical properties
chemical,has part,computational approaches
chemical,has effect,contaminant
chemical,subclass of,oceanography
chemical,studied by,toxicological
chemical,medical condition treated,viral infection
chemically induced osteogenesis,opposite of,fluid shear stress
chemiluminescence immunoassay,instance of,serological test
chemiluminescent microparticle immunoassay,instance of,serological test
chemistry,has part,biology
chemistry,studies,biomaterial
chemistry,studies,field features
chemistry,studies,medicinal
chemistry,has part,molecular biology
chemistry,studies,polyhedral
chemo ,subclass of,reaction mechanism
chemo mechanical waves,used by,pharmacological treatments
chemo sensitizer,subclass of,adjuvant therapy
chemo sensor,use,metal detection
chemo,subclass of,chemotherapeutic agent
chemoattractant,has part,protein 1
chemoattracting gradients,subclass of,stimulus
chemoautotrophic,opposite of,heterotrophic
chemoenzymatic,subclass of,biomolecule editor
chemokine biology,studies,chemokine
chemokine receptor,subclass of,surface receptor
chemokine signaling,instance of,signal pathways
chemokine,different from,chemokine
chemokine,subclass of,cytokine
chemokine,has part,receptor
chemokine,subclass of,signaling
chemolabile,subclass of,nucleic acid therapeutics
chemopreventive,subclass of,chemotherapeutic
chemopreventive,subclass of,therapeutical
chemoprophylaxis,medical condition treated,malaria
chemoradiotherapy,subclass of,palliative chemo 
chemoresistance mechanisms,different from,mode of action
chemoresistance,subclass of,MC
chemoresistance,subclass of,Pharmacological inhibition
chemoresistance,subclass of,ovca
chemoresistance,has part,target
chemoresistance,opposite of,tumorigenicity
chemoresistant,subclass of,GC cells
chemoresponsiveness,subclass of,diagnosing patients at an early stage
chemosensory innervation,has part,taste bud
chemosynthetic,subclass of,symbiont
chemotactic protein 1,part of,cytokine induced neutrophil chemoattractant 2
chemotactic receptor,subclass of,signaling
chemotherapeutic agents,has effect,resistance
chemotherapeutic drug,use,anticancer
chemotherapeutic drug,has effect,chemosensitivity
chemotherapeutic drug,has part,phytochemical
chemotherapeutic,subclass of,anticancer drug
chemotherapeutic,subclass of,drug
chemotherapy free,subclass of,new drugs
chemotherapy induced polyneuropathy,instance of,pathogenesis
chemotherapy,medical condition treated,aml
chemotherapy,subclass of,anticancer
chemotherapy,facet of,cancer
chemotherapy,subclass of,first line cancer treatment
chemotherapy,medical condition treated,glioblastoma
chemotherapy,different from,immunotherapy
chemotherapy,has effect,shorter survival
chemotherapy,subclass of,therapy
cheshire,use,GEM curation
cheshire,part of,topology
chest,connects with,head
chew,subclass of,herbivore
chhattisgarh,country,India
chi square test,use,Analysis between qualitative variables
chi square test,use,pre procedure dental treatment screening
chi square,instance of,statistical significance
chi squared test,uses,polymerase chain reaction
chi3l2,instance of,protein
chiapas,located in the administrative territorial entity,Mexico
chicken coccidiosis,has cause,Eimeria tenella
chicken embryo,has part,chorioallantoic membrane
chicken,subclass of,model organism
chicken,subclass of,poultry
chicomendesi,instance of,sp
chifeng,part of,North China
chikv,instance of,protein
child birth,different from,pregnant
child health,has cause,Adverse childhood experience
child health,country,gabon
child labour,facet of,education
child labour,facet of,schooling
child,opposite of,Mother child pair
child,followed by,adolescent
child,opposite of,adult
child,opposite of,elderly
child,uses,language
child,different from,mother
child,uses,swab
child,followed by,young adults
childbirth,has cause,pregnant
childhood obesity,opposite of,healthy children
childhood,followed by,adulthood
children exposed to low or no substances,opposite of,Children exposed to illicit substances in utero
children's services,part of,adult mental health
children's services,field of work,mental health
chill coma,has cause,Exposure to cold
chimera,has part,g1
chimeric antigen receptor T cell therapy,subclass of,bispecific T cell engagers
chimeric complementation,subclass of,inducible haematopoietic cell depleting
chimeric contigs,part of,genome
chimpanzee,different from,human
chinese,shares border with,european
chip,subclass of,ubiquitin ligase
chiral pesticides,has part,heavy metal
chiral,subclass of,quantum dots
chironomid OTUs,facet of,taxonomic resolution
chironomidae,instance of,Operational Taxonomic Units
chit,instance of,gene
chitosan base copper oxide,subclass of,nanoparticle
chitosan,instance of,biopolymer
chitosan,has part,copper
chitosan,instance of,homopolymer
chitosan,subclass of,nanocomposite
chitosan,subclass of,nanofiber
chitosan,subclass of,nanoparticle
chitosan,instance of,polysaccharide
chitter,instance of,call type
chk1,part of,nuclear
chk1,subject has role,phosphorylation
chlamydomona,has part,chloroplast
chlamydomona,has part,organellar
chlamydospore,subclass of,fungal
chlamydospore,part of,hypha
chlordane,subject has role,pesticide
chloroflexi,instance of,flora
chloroflexi,parent taxon,j
chloroflexi,parent taxon,jz
chlorophyll,instance of,chromophore
chlorophyll,has part,mn
chlorophyll,has part,oxygen
chloroplast <subj>cp,part of,chloroplast
chloroplast development,has part,chloroplast
chloroplast,has part,bundle sheath cells
chloroplast,part of,chlamydomona
chloroplast,part of,chloroplast development
chloroplast,part of,nucleus
chloroplast,has part,probe
chlorosis,has cause,amd
chlorothalonil,instance of,moiety
chlorotic pomegranate trees,opposite of,non chlorotic trees
chlorpromazine sulfoxide,has part,7 hydroxychlorpromazine
chlorpromazine,subject has role,antiemetic
chlorpromazine,subject has role,metabolism
chlorpyrifo,has part,atrazine
chlorpyrifo,subject has role,pesticide
chmp4a,medical condition treated,bc
chmp4a,instance of,gene
chmp4a,subclass of,mrna
cholangiocarcinoma,subclass of,cholestatic liver disease
cholestatic liver disease,has cause,genetic burden
cholesterol crystals,subclass of,free cholesterol
cholesterol ester,has part,cholesterol
cholesterol homeostasis,instance of,metabolic pathway
cholesterol,subclass of,lipid
cholesterol,subclass of,lipoprotein
cholesterol,part of,steroidogenesis
choline/ethanolamine phosphotransferase 1,instance of,enzyme
cholinephosphotransferase 1,instance of,enzyme
chondrocyte,subclass of,tissue
chondrocytic lineage,has effect,mesenchymal chondrosarcoma
chondrogenic,subclass of,differentiation
chondroitin sulfate proteoglycan 4,has part,cspg4
chondroitin sulfate,instance of,mucopolysaccharide
chondroprotective,subclass of,protein
chondrosarcoma,subclass of,malignant bone tumor
chondrosarcoma,has cause,mesenchymal
chongming,country,China
chongming,located in the administrative territorial entity,shanghai
chorangiocarcinoma,subclass of,placental neoplasm
chordoma,subclass of,bone cancer
chordoma,instance of,histological subtypes
choreoacanthocytosis,has cause,vacuolar protein sorting associated protein A
chorioallantoic membrane,part of,chicken embryo
chorioallantoic membrane,part of,embryo model
chorioallantoic membrane,part of,vasculature
chorioamnionitis,subclass of,villitis
chorionic membrane,part of,maternal
chornobyl,significant event,ionizing radiation
chornobyl,instance of,nuclear power plant
chornobyl,significant event,radioactive contamination
choroid,has part,Flat mount
choroid,part of,cornea
choroidal lesions,subclass of,Posterior involvement
choroidal melanoma,instance of,incidence rate
choroidal melanoma,has effect,tumor associated retinal pigmentation
chow diet,subclass of,hfd
chow diet,subclass of,metabolic normal
chow,has part,hfd
chow,has part,hsd
chpt1,has part,cytidine diphosphate choline
chpt1,has part,diacylglycerol
chr17,instance of,gene
chrm5,part of,G protein coupled muscarinic acetylcholine receptor
chrm5,subclass of,cholinergic receptor
chrm5,instance of,gene
chrna3,subclass of,cholinergic bladder neuron receptor
chrna7,instance of,biomarker
chromatid breaks,subclass of,chromosomal aberrations
chromatin accessibility dynamics,facet of,chromatin
chromatin accessibility,studied by,epigenetic
chromatin associated protein,subclass of,nuclear protein
chromatin conformation capture,facet of,chromatin
chromatin fibers,part of,chromatin remodeling
chromatin immunoprecipitation,uses,Co IP
chromatin immunoprecipitation,subclass of,quantitative polymerase chain reaction
chromatin isolation,subclass of,in vitro
chromatin remodeling,has part,chromatin fibers
chromatin,has part,PcG binding
chromatin,instance of,biological process
chromatin,has part,cohesin
chromatin,studied by,epigenomic
chromatin,part of,epithelial
chromatin,has part,gene
chromatin,part of,genome
chromatin,part of,genomic regions
chromatin,has part,histone
chromatin,part of,nuclear
chromatin,has part,nucleosome
chromatin,has part,protein
chromatin,has part,region
chromatin,has effect,thyroid cancer
chromatin,part of,tissue
chromid,part of,genome
chromid,subclass of,megaplasmid
chromium,instance of,metal
chromophobe RCC,follows,papillary RCC
chromophore binding pocket,part of,gfp
chromosomal DNA,part of,chromosome number
chromosomal nondisjunction,subclass of,genomic variants
chromosomal,has part,gene
chromosomal,part of,genomic
chromosome 13,instance of,chromosome
chromosome 2,instance of,chromosome
chromosome 3,part of,tumor
chromosome aberrations,has cause,1C metabolism
chromosome bridge,subclass of,ultra fine DNA bridge
chromosome instability,has cause,mitosis
chromosome number,has part,chromosomal DNA
chromosome number,part of,chromosome
chromosome,studied by,Human Genome Project
chromosome,has part,centromere
chromosome,part of,chromosome level scaffolding
chromosome,has part,chromosome number
chromosome,has part,condensin
chromosome,studied by,cytometry
chromosome,has part,dna
chromosome,has part,genetic information
chromosome,part of,genome
chromosome,has part,metaphase
chromosome,has part,telomere
chromosomes 2,subclass of,condensin
chronic colitis,has cause,dextran sulfate sodium
chronic disease,has part,mcc
chronic exercise,facet of,obese
chronic gastritis,subclass of,gastrointestinal disease
chronic heart failure,has cause,hypertension
chronic hypoxia,has effect,cardiovascular
chronic inflammation,has effect,development of this cancer
chronic inflammation,subclass of,inflammation
chronic inflammatory diseases,subclass of,disease
chronic kidney disease,has cause,Maladaptive activation of the immune system
chronic kidney disease,subclass of,ckd
chronic kidney disease,has effect,constipation
chronic kidney disease,has effect,kidney failure
chronic lower respiratory disease,instance of,comorbidity
chronic obstructive pulmonary disease,has effect,Progressive lung function decline
chronic obstructive pulmonary disease,subclass of,inflammatory diseases
chronic pulmonary disease,instance of,third leading cause of death
chronic stress method,opposite of,acute stress method
chronic stress,subclass of,stress
chronic traumatic encephalopathy,instance of,disease
chronic unpredictable stress,subclass of,pre pregnancy stress
chronic,subclass of,disease
chronic,subclass of,liver failure
chronic,studied by,pathophysiology
chronodisruption,facet of,circadian rhythms
chronodisruption,subclass of,metabolic damage
chronotropic incompetence,subclass of,complex cardiac arrhythmias
chronotype,studied by,sociodemographic
chungnam,instance of,Korean provinces
chuste,affiliation,Saint Etienne University Hospital
chymotrypsin,subclass of,peptide
ciara,instance of,cluster independent computational tool
ciara,programming language,python
ciara,programming language,r
cibersort,part of,tisidb
cicadidae,parent taxon,cicada
cigarette,has part,tobacco
ciita,instance of,gene
cilia biology,studies,ciliogenesis
cilia biology,studies,ciliopathy
cilia membrane,part of,olfactory epithelium
ciliary body,part of,cornea
ciliogenesis,studied by,cilia biology
ciliopathy,studied by,cilia biology
ciliopathy,subclass of,multisystemic
cilium,part of,KV cell
cilium,has part,apical membrane
cilium,connects with,axon
cilium,subclass of,cytoskeletal cell
cilium,connects with,lumen
cilium,has part,rpe
cilium,part of,sensory neuron
cilp,instance of,protein
cimba,different from,bcac
cipk23,has part,cbl1
cipk23,instance of,mutant
cipk23,encodes,nramp1
ciprofloxacin,medical condition treated,B. atrox.
ciprofloxacin,subject has role,antibiotic
ciprofloxacin,different from,imipenem
ciprofloxacin,different from,piperacillin
circadian and annual rhythms generation in insects and mammals,has part,circadian clock
circadian behavior,has part,transcriptional/translational feedback loop
circadian biology,studies,crop production
circadian clock,part of,circadian and annual rhythms generation in insects and mammals
circadian clock,has part,hypothalamic suprachiasmatic nucleus
circadian clock,has part,melatonin
circadian clock,has part,opn3
circadian clock,has part,opn5
circadian clock,subclass of,synchronization
circadian cycle,subclass of,chronodisruption
circadian period,has part,per2
circadian rhythm,has part,peripheral clock
circadian rhythms,has part,period
circadian system,has part,activity rhythms
circovirus,parent taxon,circoviridae
circprime,instance of,web platform
circrna,subclass of,biomarker
circrna,subclass of,circularized RNA
circrna,subclass of,mrna
circrna,subclass of,regulators of Wnt
circrna,subclass of,rna
circuit activity,part of,nervous system
circuit,part of,brain
circuit,has part,cortical
circular RNA,subclass of,noncoding RNA
circular dichroism,uses,X ray scattering
circular,subclass of,mixed set
circulating endothelial cell,subclass of,endothelial colony forming cell
circulating metabolome,has part,arterial
circulating metabolome,has part,tail
circulation,connects with,airway
circulatory,part of,organ
cirlivirale,parent taxon,virus
cirrhosis,has cause,inflammation
cirrhosis,has effect,liver cancer
cirrhosis,has cause,neonatal cholestasis
cis AT,opposite of,trans AT
cis cyclodiphosph(V)azane,instance of,radiosynthesis
cis regulatory elements,facet of,gene expression
cisab09,subclass of,allele
cisplatin resistance,instance of,disease progression
cisplatin,has part,5 fluorouracil
cisplatin,medical condition treated,Testicular germ cell tumor
cisplatin,subject has role,chemotherapeutic agent
cisplatin,subject has role,chemotherapy
cisplatin,medical condition treated,eoc
cisplatin,medical condition treated,hepatotoxicity
cisplatin,medical condition treated,medulloblastoma
cisplatin,medical condition treated,ovarian cancer
citation lag,facet of,Analysis of variance
citation lag,subclass of,length
citation lag,facet of,publication year
citation,subclass of,acknowledge
citation,part of,article
cites,instance of,regulatory frameworks
citizenship,subclass of,stewardship
citrate metabolism,instance of,KEGG pathway
citrate synthase,part of,mitochondrial
citrullinated antigens,has part,neutrophil
citrus,has part,pectin
city,part of,population
civf,medical condition treated,factor infertility
civf,opposite of,icsi
civf,subclass of,infertility treatment
ck1,subclass of,protein kinase
ck15,subclass of,wuyiencin
ck1δ,subclass of,phosphoserine
ck20,part of,ck7
ck20,part of,ckl
ck7,has part,ck20
ck7,has part,ckl
ckd,has effect,dkd
ckd,has cause,gastrointestinal dysfunction
ckl,has part,ck20
ckl,has part,ck7
cl Par 4 point mutant,subclass of,site directed mutagenesis
cla,subject has role,antioxidant
cla,has part,efa
clabsi,subject has role,antibiotic
clade,part of,phylogenetic
clade,part of,phylogenetic tree
clasp2,subclass of,tog2
class I histone deacetylase inhibitor,medical condition treated,medulloblastoma
class II bacteriocin,subclass of,bacteriocin
class imbalance problem,subclass of,abnormal events
classic SPs,subclass of,supplement
classic comparative approaches,has part,species tree
classical molecular subtypes,subclass of,blca
classical rodent model,subclass of,brain structure
classical vaccine,has part,adjuvant
classical,opposite of,novel PKCs
classical,instance of,phenotype
classification models,facet of,machine learning
classification of tumors of the central nervous system,author,World Health Organization
classification precision,subclass of,computing costs
classification system,has part,cancer types
classification,subclass of,computational tools
classification,facet of,evolutionary mechanisms
classification,has part,scoring system
classification,part of,statistical
classify,facet of,machine learning
classify,subclass of,machine learning algorithm
classify,subclass of,recognize
clathrin,subject has role,endocytosis
claudin 8,instance of,proteins
clavicle,connects with,ms
clavulanate,different from,amoxicillin
cldn18,subclass of,tight junction protein
cldn19,instance of,gene
clean intermittent catheterization,medical condition treated,urinary tract infection
clean up,facet of,environmental
cleavage site,follows,conjugation site
cleavage,subclass of,blastocyst
cleavage,subclass of,conjugate
cleavage,subclass of,embryo
cleave,subclass of,conjugate
cleave,opposite of,uncleave
clec2d,instance of,biomarker
cleft palate,subclass of,congenital heart defects
cleistogamous,opposite of,chasmogamous
clia,instance of,laboratory
cliff recession,facet of,population size
climate awareness,subclass of,awareness
climate change,has effect,ecological impacts
climate change,subclass of,environmental change
climate change,has effect,environmental protection
climate change,has effect,habitat
climate change,has effect,increasingly unpredictable environmental conditions
climate change,has cause,volcanism
climate on our planet,has cause,Human activity
climate only model,facet of,habitat suitability
climate refugia,facet of,climate change
climate warming,has cause,future
climate warming,has effect,preservation of cold habitat refuges
climate,part of,climatic
climate,has part,climatically related factors
climate,part of,environmental
climate,has part,landscape variables
climate,subclass of,predictor
climate,has part,winter
climatic change,has effect,seasonal
climatic distribution,facet of,climatic
climatic niche evolution,subclass of,evolution
climatic variability,subclass of,environmental variation
climatically related factors,part of,climate
clindamycin,subject has role,antibiotic
clinic,field of work,ivf
clinic,different from,physician's office
clinical application,has part,clinical testing
clinical applications,has part,hmsc
clinical applications,facet of,tumor EVs
clinical attributes,has part,manifestation
clinical characteristics,facet of,genetics
clinical characteristics,has effect,outcome
clinical complications,has cause,iron stent corrosion
clinical course,subclass of,clinical characteristics
clinical course,studied by,histology
clinical course,facet of,pathology
clinical data,part of,Medical records
clinical decision support system,facet of,clinical decision making
clinical diagnosis and treatment of tumor patients,studied by,precision medicine
clinical diagnosis,uses,biosensor
clinical diagnosis,subclass of,diagnose
clinical diagnosis,studies,phenotypic
clinical differentiation,facet of,clinical trial design
clinical efficacy,part of,preclinical studies
clinical examination,studies,general state
clinical features,part of,biological
clinical findings,studied by,pathologist
clinical forms,facet of,eye injury
clinical heterogeneity,subclass of,phenotype
clinical imaging,opposite of,preclinical imaging
clinical indications,subclass of,biological functions
clinical manifestations,facet of,disease
clinical manifestations,has effect,mortality
clinical only model,instance of,test AUC
clinical outcome,has cause,diagnostic
clinical outcome,has cause,phenotype
clinical outcomes,studied by,clinicopathological
clinical outcomes,has cause,toxin
clinical outcomes,studied by,translational research
clinical parameters,opposite of,biological signs of disease activity
clinical pearl,used by,Emerging diagnostic techniques
clinical performance studies,subclass of,literature
clinical practice,practiced by,clinical practitioner
clinical practice,has part,clinics
clinical practice,practiced by,doctor
clinical practice,practiced by,physician
clinical practitioner,field of this occupation,clinical practice
clinical presentation,part of,course of the disease
clinical remission,subclass of,symptom control
clinical research,part of,basic biology
clinical research,subclass of,biological
clinical researchers,part of,medical practice
clinical resistance,subclass of,antibiotic resistance
clinical stage 1,opposite of,clinical stage 4
clinical stage 4,opposite of,clinical stage 1
clinical studies,facet of,osteosarcoma
clinical studies,has part,trial
clinical tasks,instance of,code
clinical testing,part of,clinical application
clinical toxicity,facet of,transfusion
clinical translation,part of,biomedicine
clinical translation,subclass of,clinical translation
