head, type, tail
CREB signaling,part of,G-protein coupled signaling pathway
G-protein coupled signaling pathway,has part,CREB signaling
Estrogen receptor,subclass of,signaling
PBI,different from,TBI
TBI,different from,PBI
radiation injury,has cause,radiation
Autosomal dominant polycystic kidney disease,subclass of,monogenic
polycystin-1,instance of,gene
polycystin-2,instance of,gene
inflammation,studied by,pathogen
Tolvaptan,subject has role,vasopressin receptor-2 antagonist
Tolvaptan,medical condition treated,idiosyncratic liver toxicity
idiosyncratic liver toxicity,drug used for treatment,Tolvaptan
ADPKD,drug used for treatment,therapeutic options for ADPKD treatment
therapeutic options for ADPKD treatment,medical condition treated,ADPKD
FDA,field of work,drug discovery
pre-cystic model,facet of,ADPKD
functional enrichment analysis,facet of,mechanism of action
in-vitro,different from,in-vivo
in-vivo,different from,in-vitro
pre-cystic,subclass of,cystic ADPKD
plant litter,has part,carbon
plant litter,has part,nutrient cycling
carbon,part of,plant litter
nutrient cycling,part of,plant litter
decomposer,subclass of,microbial
Glycine max,has part,Linn
Linn,part of,Glycine max
Merr,located in the administrative territorial entity,Merr
litterbag,use,litter
maize stalk litter,instance of,common bean root litter
soybean stalk litter,instance of,common bean root litter
Litter mixing,subclass of,decomposition
fungal,opposite of,bacterial
Litter mixing,facet of,fungal communities
Fusarium,instance of,taxa
Aspergillus,instance of,taxa
Stachybotrys,instance of,taxa
nitrogen,has part,phosphorus
decomposition rate,has cause,microbial decomposer communities
microbial decomposer communities,has effect,decomposition rate
Interpreting protein function,studied by,bioinformatics
bioinformatics,studies,Interpreting protein function
model representatives,facet of,clade
Unsupervised learning,studies,datasets
datasets,studied by,Unsupervised learning
DeepSeqProt,use,unsupervised deep learning
DeepSeqProt,instance of,clustering tool
DeepSeqProt,use,learning
DeepSeqProt,instance of,clustering methods
unsupervised,part of,deep learning
DNA,part of,genome
tree of life,instance of,evolutionary processes
brown rot disease,has cause,Monilinia
SNPs,part of,genome
diversity,part of,species
functional,has effect,effect
effect,has cause,functional
CN variable,subclass of,copy number variations
variant dynamics,facet of,variant catalog
Epithelial-mesenchymal transition,subclass of,transcriptional program
triple negative breast cancer,subclass of,disease recurrence
epigenetic editing,uses,CRISPR/dCas9
chromatin,part of,epithelial
promoter,part of,DNA methylation
hybrid-like,subclass of,Epigenetic shifts
epigenetic landscape,facet of,epigenetic reprogramming
molecular oncology,studies,breast cancer
breast cancer,studied by,molecular oncology
homeostasis,facet of,health
Interleukin-33,subclass of,cytokine
type 2,subclass of,immune response
phosphate-pyridoxal,subclass of,vitamin B6
asthma,has effect,inflammation
IL-33,part of,type 2 immune response
IL-33,drug used for treatment,pyridoxal
IL-33,has effect,inflammation
inflammation,has cause,IL-33
E3 ubiquitin-protein ligase,subclass of,ubiquitinate
IL-33,part of,IL-33 polyubiquitination
IL-33 polyubiquitination,has part,IL-33
inhalation,medical condition treated,asthma
asthma,drug used for treatment,inhalation
vitamin B6,medical condition treated,allergy
allergy,drug used for treatment,vitamin B6
Haematophagous,subclass of,vector
vector-borne diseases,subclass of,diseases
microorganisms,part of,biology
biology,studies,microorganisms
vector taxa,subclass of,symbiotic
microbiota,has part,hosts
hosts,part of,microbiota
non-chemical-based alternative control methods,facet of,vector populations
translational,subclass of,knowledge gap
Neuroblastoma,subclass of,extracranial malignancy
glioma,subclass of,cancer
gene network,facet of,cancer
epigenetic,subclass of,deregulated
anti-tumor suppressor gene,subclass of,oncogenes
exosome,subclass of,secreted
neuroblastoma,has part,ncRNAs
lipid,part of,Cellular membrane
phospholipid,subclass of,lipid
phosphatidylcholine,subclass of,phospholipid
activity-dependent,subclass of,directed enzyme evolution
organelle,has part,cells
cells,part of,organelle
chemoenzymatic,subclass of,biomolecule editor
two-electron,subclass of,chemical bond
gas-phase reaction,subclass of,reactivity
catalysis,subclass of,reactions
α-ketoglutarate,part of,tricarboxylic acid cycle
succinyl,part of,tricarboxylic acid cycle
OGDHc,part of,metabolism
OGDHc,parent taxon,eukaryotic
bioinformatic,part of,biophysical
OGDHc,has part,E2o
E2o,part of,OGDHc
OGDHc,subclass of,enzymes
succinyl-CoA-producing native cell extract,instance of,complex mixtures
Tick-borne encephalitis,has cause,flavivirus
ticks,subclass of,rodent
tree,has parts of the class,seed
masting,product or material produced,seed
TBE,subclass of,tick-borne diseases
masting,subclass of,airborne pollen
Trento,country,Italy
pollen,has part,TBE
Arta,instance of,cultivar
Baharan,instance of,cultivar
malondialdehyde,subject has role,antioxidant
Ce,has part,Sm
Arta,shares border with,Baharan
Baharan,shares border with,Arta
Ce,subject has role,hormesis
Sm,subject has role,hormesis
Ce,medical condition treated,proline accumulation
Sm,medical condition treated,proline accumulation
Ce,has part,MDA
peroxidase,subject has role,antioxidant
polyphenol peroxidase,subject has role,antioxidant
Ce,subject has role,antioxidant
Sm,subject has role,antioxidant
biochemical,part of,physiological
microbiota,part of,gut
colon,has part,gut
small intestine,connects with,large intestine
large intestine,connects with,small intestine
colonized,opposite of,germ-free mice
germ-free mice,opposite of,colonized
small intestinal,part of,small intestine
small intestine,has part,small intestinal
metabolite,part of,metabolism
genetic variants,part of,Genome
biology,has part,clinical
clinical,part of,biology
ethical,has part,legal implications
legal implications,part of,ethical
ethical concerns,facet of,genome-wide association studies
genome,has part,genetic data
genetic data,part of,genome
research,practiced by,researchers
researchers,field of this occupation,research
gene expression,uses,messenger RNA
Gram-positive,subclass of,bacteria
-negative,subclass of,bacteria
trailing ribosome,part of,ribosome
ribosome,has part,trailing ribosome
5'-3' exonucleases,subclass of,endonucleolytic cleavage sites
5'P degradome,subclass of,metadegradome
codon,part of,ribosome
ribosome,has part,codon
5'P sequencing,subclass of,metadegradome sequencing
degradome,subclass of,RNA degradation
metadegradome,subclass of,sequencing
resistance gene,part of,genome
light,opposite of,dark zone
dark zone,opposite of,light
T follicular helper,has part,CXCR4
cell cultures,has parts of the class,cell
cell,part of,cell cultures
photoinitiated,subclass of,polymerization
polyethylene glycol,instance of,hydrogel
mesenchymal stem cell,subclass of,cell-surface metalloproteinases
super-resolution fluorescence microscopy,subclass of,Cryogenic transmission electron microscopy
TEM,use,cryo-TEM
fluorescence imaging,opposite of,TEM imaging
TEM imaging,opposite of,fluorescence imaging
support grid,part of,grid design
grid design,has part,support grid
fluorescence microscopy,subclass of,illumination
support grid,use,cryo-microscopy
Hearing loss,instance of,trait
exome,part of,genome
GJB2,subclass of,Biallelic
syndromic,subclass of,phenotypic
primary diagnostic tool,use,ES
ES,instance of,gene
HL,instance of,gene
homozygous,opposite of,heterozygous
heterozygous,opposite of,homozygous
primary test,opposite of,secondary tool
secondary tool,opposite of,primary test
secondary test,opposite of,primary tool
complex regions,part of,deep intronic
Alcohol use disorder,subclass of,genetic disorder
genetic variations,has effect,risk for AUD
DNA,has part,RNA
alternative splicing,has effect,AUD
skipped exon,subclass of,splicing
CommonMind Consortium,field of work,RNA-seq
Collaborative Studies on Genetics of Alcoholism,has effect,AUD
Australian Twin-family Study of Alcohol Use Disorder,main subject,AUD
DRC1,instance of,gene
ELOVL7,instance of,gene
NSUN4,instance of,gene
SRRM2,instance of,gene
TBC1D5,instance of,gene
neuroimmune pathways,subclass of,gene
ELOVL7,instance of,skipped exon
visual cortex,instance of,brain regions
RNA alternative splicing,subclass of,gene
complex,subclass of,genetic disorders
maternal imprinting,facet of,neonatal islet
breastmilk,subclass of,secretagogue
fatty acid receptor 1,subclass of,Gq-coupled receptor
neonatal,followed by,offspring
offspring,follows,neonatal
CD-fed,opposite of,HFD
HFD,opposite of,CD-fed
Synaptic vesicles,subclass of,organelle
neurotransmitter,different from,neurotransmitter
synaptogyrin,instance of,protein
synaptogyrin,has part,phosphatidylserine
synaptogyrin,subclass of,transmembrane structure
cytoplasmic,has part,intravesicular
intravesicular,part of,cytoplasmic
synaptogyrin,instance of,proteins
neuroinflammation,has cause,immune-specialized environment
brain,part of,tissue
metastatic,subclass of,brain cancer
CXCL13,part of,T cell biology
CD39,part of,T cell biology
antigen presentation,facet of,antigen
immunotherapy,facet of,tumor progression
tumor microenvironment,facet of,cancers
non-small-cell lung carcinoma,drug used for treatment,immunotherapy
immunotherapy,medical condition treated,non-small-cell lung carcinoma
precision oncology,facet of,cancer types
longevity,facet of,health
cystathionine β-synthase,followed by,cystathionine γ-lyase
cystathionine γ-lyase,follows,cystathionine β-synthase
2-oxobutanoate,instance of,cysteine
cystathionine,subclass of,cysteine
cognitive,has cause,physical decrements
physical decrements,has effect,cognitive
primate,subclass of,nonhuman
cognitive function,facet of,social interaction
African green monkey,parent taxon,Chlorocebus
affiliative behavior,opposite of,time spent alone
time spent alone,opposite of,affiliative behavior
grooming,has part,grooming
grooming,part of,grooming
directed grooming,facet of,social partners
physical activity levels,has part,Grooming
cognitive performance,facet of,age
executive function,facet of,grooming interaction
physical performance,has effect,social participation
social participation,has cause,physical performance
cognitive deficits,facet of,aging
Prostate cancer,subclass of,tumors
gene,subclass of,risk factors
Human Papillomavirus,parent taxon,viruses
prostate cancer,has cause,HPV infection
HPV infection,has effect,prostate cancer
PCa,country of origin,Moroccan
PCR,uses,primers
primers,use,PCR
infection,has cause,virus
virus,has effect,infection
viral infection,has effect,human papilloma
prostate cancer,has cause,PCa
PCa,has effect,prostate cancer
Prostate cancer,instance of,cancer
7-geranyloxycoumarin,medical condition treated,prostate cancer
prostate cancer,drug used for treatment,7-geranyloxycoumarin
pretreated,followed by,X-ray exposure
X-ray exposure,follows,pretreated
alamar Blue assay,use,cell viability
clonogenic survival,facet of,apoptosis
apoptotic,subclass of,cell
BAX,encodes,P53
prostate cancer,drug used for treatment,AUR
AUR,medical condition treated,prostate cancer
central nervous system,has part,Microglia
small non-coding microRNA,subclass of,epigenetic regulators
miRNAome,has part,miRNAs
mRNAome,has part,miRNAs
miRNAs,part of,miRNAome
miRNAs,part of,mRNAome
miRNA signature,facet of,miRNA
miRNA,subclass of,mRNA
sex,has effect,miRNA expression
miRNA expression,has cause,sex
microglia,part of,CNS development
threatened,subclass of,species
glasshouse experiment,subclass of,Field survey
A. contorta,facet of,site management
manage,subclass of,control
spawning sites,subclass of,food source
ecological management,facet of,biodiversity
animal,instance of,taxa
natal dispersal,part of,pair-living
pair-living,parent taxon,gibbon
Gunung Halimun-Salak National Park,country,Indonesia
2016,point in time,2016
2019,point in time,2019
feeding,different from,non-feeding
non-feeding,different from,feeding
Offspring,opposite of,parent
parent,opposite of,Offspring
grooming,part of,co-feeding
mate competition,has part,food
natal group,subclass of,social relationships
soil carbon,part of,Permafrost
climate warming,has cause,future
permafrost,studied by,biogeography
Permafrost,subclass of,soils
permafrost,subclass of,perennial
microbial,part of,communities
communities,has part,microbial
permafrost,subclass of,metagenome
pH,facet of,soil depth
C-assimilation,part of,energy metabolism
nitrate reduction,part of,citric acid cycle
permafrost,subclass of,microbial communities
greenhouse gas emissions,has cause,climate change
eukaryotic,opposite of,protozoal
protozoal,opposite of,eukaryotic
vaccine,different from,vaccine
Live and attenuated vaccine,opposite of,subunit vaccine
subunit vaccine,opposite of,Live and attenuated vaccine
silico vaccine,subclass of,protein vaccine
standardised guidebook,facet of,implementation
subunit vaccine,subclass of,vaccine
current in silico,subclass of,discovery
parasite,has part,host
host,subclass of,parasite
Toxoplasma gondii,instance of,protein
animal model,subclass of,testing
natural environment,has part,agricultural sector
agricultural sector,part of,natural environment
herbicide-resistant weeds,subclass of,herbicide
herbicidal compound,opposite of,antibiotic
bacterial dihydrodipicolinate reductase,subclass of,enzyme
cell line,use,in vitro
germination assay,subclass of,assays
Lolium rigidum,parent taxon,weed
Raphanus raphanistrum,parent taxon,weed
DHDPR,instance of,herbicide
enzyme,part of,plant
Cellular senescence,has effect,age-related skin function deterioration
age-related skin function deterioration,has cause,Cellular senescence
Peptide (Pep) 14,instance of,senotherapeutic peptide
Hutchinson-Gilford Progeria Syndrome,drug used for treatment,etoposide treatment
etoposide treatment,medical condition treated,Hutchinson-Gilford Progeria Syndrome
PP2A,instance of,holoenzyme
Pep 14,instance of,gene
SASP,instance of,senescence markers
senomorphic,subclass of,peptide
macrophage,subclass of,Immune cell
dendritic cell,subclass of,Immune cell
height oscillations,subclass of,protrusion and retraction cycles
individual oscillations,opposite of,collective wave-like dynamics
collective wave-like dynamics,opposite of,individual oscillations
clusters,subclass of,podosome
myosin,subclass of,monomer
pharmacological treatments,uses,chemo-mechanical waves
chemo-mechanical waves,used by,pharmacological treatments
immune cell mechanosensing,facet of,cancer immunotherapy
coronavirus,parent taxon,viruses
SARS-CoV-2,has part,Alpha
SARS-CoV-2,has part,Delta
SARS-CoV-2,has part,Omicron
Alpha,subclass of,SARS-CoV-2
Delta,subclass of,SARS-CoV-2
Omicron,subclass of,SARS-CoV-2
ultra-high-resolution,subclass of,CT
energy-integrating detector,use,CT
disease-modifying therapies,subclass of,progression
univariate,facet of,network-level
DNMT3A,followed by,DNMT1
DNMT1,follows,DNMT3A
DNA methylation,facet of,embryogenesis
stop codon,part of,gene
IMGZ,use,Embryos
Dnmt-null,has effect,gastrulation failure
Dnmt,has effect,DNA methylation
DNMT1,instance of,protein
DNMT3A,instance of,protein
DNMT3B,instance of,protein
DNMT1,part of,promoters
DNMT3A/3B,part of,promoters
IG-DMR,subclass of,miRNAs
promoter methylation,facet of,epigenetic
radioluminescence,subclass of,Luminescence
radiative,opposite of,nonradiative
nonradiative,opposite of,radiative
cytokines,subclass of,proteins
safety concerns,has effect,efficacy
extracellular matrix,part of,tissue healing
motif,part of,protein
IL-1Ra,subject has role,interleukin-1 receptor antagonist
tissue retention,opposite of,leakage
leakage,opposite of,tissue retention
engineered PDGF-BB,opposite of,wild-type PDGF-BB
wild-type PDGF-BB,opposite of,engineered PDGF-BB
wound healing,subclass of,regeneration
myocardial infarction,has effect,cardiac repair
ECM,subclass of,protein
Obesity,has effect,increasing the risk of many diseases
increasing the risk of many diseases,has cause,Obesity
high salt diet,has effect,obesity
T2DM,has effect,obesity
High-throughput sequencing,subclass of,analysis
high salt intake,has effect,body weight
Leningrad,located in the administrative territorial entity,Russia
Russia,contains administrative territorial entity,Leningrad
high salt-high food diet,has effect,T2DM
lactic acid,subclass of,short chain fatty acid
small intestine,has part,Halorubrum luteum
obesity,has effect,T2DM
T2DM,has cause,obesity
MRP4,subclass of,MRP
transport mechanism,has part,structures
structures,part of,transport mechanism
apo inward-open,followed by,outward-open states
outward-open states,follows,apo inward-open
sulindac,subject has role,inhibitor
structural,studied by,molecular dynamics
molecular dynamics,studies,structural
condensate,subclass of,liquid
organelles,has part,membrane
hollow ones,subclass of,protein condensates
dewetting,subclass of,wetting
partial wetting,subclass of,wetting
complete wetting,subclass of,wetting
condensate,has part,membrane
adhesion,has part,interfacial tension
interfacial tension,part of,adhesion
membrane-droplet,subclass of,biomaterial
Cell migration,part of,cancer dissemination
AMP-activated protein kinase,part of,molecular hub
ATP <subj>AMP,different from <triplet>AMP,
ATP <subj>AMP,different from,ATP
cytoskeletal remodelling,part of,mitochondrial dynamics
mitochondrial ATP,part of,oxidative phosphorylation
Myosin Phosphatase,part of,Myosin II
Myosin II,has part,Myosin Phosphatase
mitochondrial fusion,has effect,adhesion
metastatic,subclass of,cancer cells
cytoskeleton,part of,mechano-metabolic
Melanoma,subclass of,skin cancer
immune checkpoint therapy,medical condition treated,melanoma
melanoma,drug used for treatment,immune checkpoint therapy
misfolding,subclass of,protein
melanoma,drug used for treatment,immunotherapy
LASSO regression,facet of,melanoma prognosis
tumor microenvironment,part of,clinicopathologic
PD-1,has part,PD-L1
PD-L1,part of,PD-1
immunotherapy,medical condition treated,melanoma
Osteoarthritis,subclass of,age-related degenerative disease
osteoarthritis,drug used for treatment,therapeutic drug
therapeutic drug,medical condition treated,osteoarthritis
Hutchinson-Gilford progeria syndrome,subclass of,genetic disorder
HGPS,different from,OA
OA,different from,HGPS
articular cartilage,facet of,aging process
genome,has part,single-nucleotide variation
genome,has part,genomic copy number variation
single-nucleotide variation,part of,genome
genomic copy number variation,part of,genome
genetic disorders,subclass of,human diseases
clinical diagnosis,subclass of,diagnosed
high-throughput sequencing,subclass of,high throughput
coding region,part of,genes
genes,has part,coding region
BGISEQ500,use,sequencing
novel,subclass of,disease-associated variants
clinical testing,part of,clinical application
clinical application,has part,clinical testing
polymer,use,solar cell
dimeric,subclass of,isomerism
glass transition temperature,facet of,crystallinity
TDY-α,instance of,device efficiency
tethered,has part,small-molecule acceptors
small-molecule acceptors,part of,tethered
caries,subclass of,tooth decay
polymicrobial,subclass of,microorganisms
supragingival,subclass of,biofilm
metagenomics,has part,metatranscriptomics
metatranscriptomics,part of,metagenomics
Prevotella salivae,parent taxon,Selenomonas sputigena
anaerobe,opposite of,motility
motility,opposite of,anaerobe
supragingival,part of,tooth
caries,has cause,S. mutans
S. mutans,has effect,caries
pathogen,has part,pathobiont
Sodium-Glucose Cotransporters,part of,sugar metabolism
sugar metabolism,has part,Sodium-Glucose Cotransporters
structures,studied by,structural studies
structural studies,studies,structures
SGLT1,followed by,SGLT2
extracellular gate,opposite of,intracellular gate
intracellular gate,opposite of,extracellular gate
TM1,part of,cavity
TM2,part of,cavity
TM3,part of,cavity
TM6,part of,cavity
TM7,part of,cavity
TM10,part of,cavity
conformational,studied by,structural analysis
SGLT,subclass of,transporters
nervous system,has part,circuit activity
circuit activity,part of,nervous system
photoreceptor,part of,cell
dysmorphology,subclass of,dysregulated
neuron,has part,photoreceptor
endocytosed,has effect,photoreceptor
lamina,part of,neuron
neuron,has part,lamina
neurodegenerative diseases,has cause,ageing
Multiple myeloma,subclass of,plasma cell (PC) malignancy
intratumoral,subclass of,tumor cells
cell surface,part of,cell
meta-cluster,facet of,phenotypic
genetic abnormalities,has effect,tumor
disease subtypes,part of,clinical behavior
CD45,instance of,phenotypic
BCL-2,instance of,phenotypic
unrelated gene expression dataset,main subject,gene expression
subclonal,subclass of,protein
cell type,part of,skeletal muscle regeneration
platelet-rich plasma,part of,hemostasis
hemostasis,has part,platelet-rich plasma
chemokine,subclass of,signaling
CXCL5,subject has role,chemoattractant
CXCL7/PPBP,subject has role,chemoattractant
inflammation,has effect,injury
neutrophil,follows,platelet
platelet,followed by,neutrophil
control mice,opposite of,neutrophil-depleted mice
neutrophil-depleted mice,opposite of,control mice
neutrophil,subclass of,platelet
Stony coral tissue loss disease,instance of,coral diseases
Symbiodiniaceae,parent taxon,algal symbionts
Symbiodiniaceae,parent taxon,coral animal
gene,part of,lineage
rab7,instance of,gene expression
Symbiodiniaceae,instance of,symbiophagy
antiviral immunity,has part,DNA sensor cyclic GMP-AMP synthase
Vaccinia virus,parent taxon,poxvirus
poxvirus,taxonomic type,Vaccinia virus
DNA,part of,cytosolic
cGAS/Stimulator of interferon gene,subclass of,gene
vaccinia E5,instance of,virulence factor
Western Reserve strain,subclass of,vaccinia virus
cytoplasm,has part,nucleus
nucleus,part of,cytoplasm
ubiquitination,subclass of,degradation
dendritic cell,subclass of,T cell
tumor cell revolution,facet of,cancer
ecDNA,part of,chromatin
F1 score,facet of,simulated data
amplification characteristics,subclass of,oncogenes
NEUROD1 high expression subtype,has part,NEUROD1
tumorigenesis,subclass of,pipeline
complex with human-leukocyte-antigen-class-I,facet of,HIV-1
HLA,subclass of,allele
QW9,instance of,epitope
HLA-B53,different from,HLA-B57
HLA-B57,different from,HLA-B53
QW9-HLA,followed by,QW9_S3T-HLA
QW9_S3T-HLA,follows,QW9-HLA
QW9-B53,instance of,ternary complex
QW9_S3T-B53,instance of,ternary complex
B57,subclass of,cross-reactive TCRs
antigen presentation,subclass of,cross-recognition
Glycoside hydrolase,subclass of,enzyme
modulating their activities,subclass of,therapeutic
Iminosugars,subclass of,GH inhibitor
N-acetyl-α-galactosaminidase,subject has role,iminosugar inhibitor
DGJNGuan,has part,guanidino
a-NAGAL,subject has role,inhibitor
fibroblasts,subclass of,cells
in vitro,different from,in cell assays
in cell assays,different from,in vitro
DGJNGuan,instance of,compound
Mangrove forest,instance of,ecosystem
patch pattern,facet of,mangrove forests
satellite imagery,instance of,image classification
random forest classification,subclass of,image analysis
mangrove,subclass of,forest
species extinction,has cause,climate change
sustainable action,said to be the same as,value-action gap
value-action gap,said to be the same as,sustainable action
university,part of,education system
environmental awareness,subclass of,environmental knowledge
University of Ulm,has part,Human Medicine
University of Ulm,has part,Dentistry
University of Ulm,has part,Molecular Medicine
University of Ulm,has part,Biology
Human Medicine,part of,University of Ulm
Dentistry,part of,University of Ulm
Molecular Medicine,part of,University of Ulm
Biology,part of,University of Ulm
environmental awareness,facet of,German population
value-action gap,facet of,students
action on climate change,subclass of,environmental protection
stereotypes,subclass of,prejudices
climate change,has effect,environmental protection
climate awareness,subclass of,awareness
biology,studies,animal hosts
animal hosts,studied by,biology
mechanistic processes,subclass of,evolutionary processes
Gut-on-a-chip,instance of,model
microbiomes,has part,microbiota
microbiota,part of,microbiomes
metastases,subclass of,cancer
lymphovascular invasion,has effect,lymph node metastasis
controversy,facet of,oncological
machine learning,part of,artificial intelligence
lymph node metastasis,facet of,colorectal cancer
Nizhny Novgorod,located in the administrative territorial entity,Novgorod Oblast
Novgorod Oblast,contains administrative territorial entity,Nizhny Novgorod
gene expression,part of,gene function
gene function,has part,gene expression
optoCRISPRi,part of,optogenetics
sensitive,opposite of,critical
critical,opposite of,sensitive
gastrulating,subclass of,embryo
epiblast,part of,peri-implantation
progenitor,part of,embryo
embryo,has part,progenitor
TFAP2A,followed by,TFAP2C
TFAP2C,follows,TFAP2A
amniotic cell,part of,posterior epiblast
posterior epiblast,has part,amniotic cell
angiogenesis,part of,vasculogenesis
VEGF receptor,subclass of,tyrosine kinase
receptor-ligand complex,subclass of,intracellular trafficking
endosome <subj>lysosome,has part <triplet>lysosome,
endosome <subj>lysosome,part of,endosome
Clathrin-dependent endocytosis,opposite of,non-clathrin-dependent pathways
non-clathrin-dependent pathways,opposite of,Clathrin-dependent endocytosis
adaptor protein,part of,cell-surface receptor
blood,connects with,lymphatic vessels
lymphatic vessels,connects with,blood
ubiquitinated,subclass of,protein
epsin,subclass of,protein
scientific progress,has cause,discoveries
discoveries,has effect,scientific progress
older knowledge,opposite of,newer research
newer research,opposite of,older knowledge
medical,subclass of,scientific articles
systematic search,subclass of,observational study
scientific journal,subclass of,medical
citation lag,facet of,publication year
citation lag,facet of,Analysis of variance
citation lag,subclass of,length
PubMed,instance of,scientific journal
10-19 years old,is a list of,referenced articles
20 years old,is a list of,referenced articles
Medical journal,opposite of,general science journal
general science journal,opposite of,Medical journal
2009,point in time,2009
scientific literature,has part,medical
'old knowledge',subclass of,knowledge
Type I interferon,part of,immune surveillance
B-cell acute lymphoblastic leukemia,subclass of,hematopoietic malignancies
IFN-I,has effect,immune responses
natural killer,subclass of,cell
IFN-I,instance of,gene
paracrine,subclass of,dendritic cell
B-ALL,subclass of,leukemia
NK-cell,subclass of,immune subsets
ALL-bearing,subclass of,transgenic mice
NK-cell,part of,NK
IFN-I signaling,has part,IFN-Is
B-ALL,has cause,IL-15
IL-15,has effect,B-ALL
B-ALL,subclass of,MYC
NK cell,product or material produced,IL-15
Plant and soil microbiomes,part of,ecosystem
ecosystem,has part,Plant and soil microbiomes
microbiome,has parts of the class,microbes
microbiome,has parts of the class,microbial
plant,subclass of,microbiome
soil,subclass of,microbiome
"Hand, foot and mouth disease",subclass of,viral infectious disease
EV71 vaccine,has cause,CA16
CA16,has effect,EV71 vaccine
vaccine,subclass of,safe
antibodies,has effect,immunogenicity
Repeated administration toxicity,facet of,vaccine
multiple intradermal administrations,facet of,toxicity
antinuclear antibodies,studied by,hematological
tissue,has part,microstructure
microstructure,part of,tissue
reflection light,studied by,reflectome
reflectome,studies,reflection light
visible,has part,reflection
sensitivity,facet of,light polarization
reflection light,subclass of,non-chromatic information
visual systems,studies,reflection
reflection,studied by,visual systems
P-MIRU,instance of,imaging system
hardware,used by,software
P-MIRU,use,biologists
visible,opposite of,non-visible
non-visible,opposite of,visible
MIRU,has part,P-MIRU
217,said to be the same as,250
250 <subj>217,said to be the same as,250
insect pest,subclass of,Lepidoptera
Dayri,parent taxon,date palm
Estemaran,parent taxon,date palm
Fersi,parent taxon,date palm
Halavi,parent taxon,date palm
Zahedi,parent taxon,date palm
2-sex life table,instance of,age-stage
Plodia interpunctella,instance of,date varieties
Zahedi,length,38.47
Estemaran,length,44.65
Estemaran,subclass of,Dayri
Fersi,subclass of,Dayri
Halavi,subclass of,Dayri
Zahedi,subclass of,Dayri
Dayri,instance of,varieties
Estemaran,instance of,varieties
Fersi,instance of,varieties
Halavi,instance of,varieties
Zahedi,instance of,varieties
Estemaran,length,47.984
Zahedi,length,41.722
Halavi,parent taxon,Zahedi
Estemaran,parent taxon,P. interpunctella
Fersi,parent taxon,P. interpunctella
Atherosclerotic,subclass of,cardiovascular disease
gene,has effect,Mutations
exon-targeted gene sequencing,subclass of,gene sequencing
DNA extraction,subclass of,laboratory testing
MiSeq,developer,Illumina
APOB,instance of,variants
PCSK9,instance of,variants
LDLRAP1,instance of,variants
American College Medical Genetics and Genomics,field of work,Genomics
stop-gain,subclass of,splice-site
likely pathogen,subclass of,pathogen
likely benign,subclass of,benign
variants,subclass of,novel
FHBGEP,instance of,gene
synthetic polymers,subclass of,bio-replacements
industrial,instance of,sectors
environmental,instance of,sectors
clinical,instance of,sectors
gram-positive,subclass of,bacterium
granular,subclass of,concentrations
operon,part of,operon
biopolymers,has part,PHAs
PHAs,subclass of,biopolymers
Orthotopic xenograft,medical condition treated,glioblastoma
glioblastoma,drug used for treatment,Orthotopic xenograft
Open Flow Microperfusion,uses,intact blood brain barrier
intact blood brain barrier,used by,Open Flow Microperfusion
cOFM,medical condition treated,glioma
tumors,instance of,Characteristics
brain,part of,tumor
tumor,has part,brain
atraumatic,subclass of,access
cOFM,facet of,glioblastoma
syringe-induced,subclass of,glioblastoma
trauma,has effect,microenvironment
brain,has part,tissue
tissue,part of,brain
biomarker,facet of,drug research
Original data,used by,author
author,uses,Original data
centre west,country,Tunisia
siltation,facet of,soil and water conservation
Dhkekira,country,Tunisia
2 m spatial resolution,subclass of,aerial photos
textural indices,subclass of,semi-automatic classification
ANSWERS-2000,instance of,water erosion model
mean,different from,standard deviation
standard deviation,different from,mean
Dhkekira,instance of,watershed
Priabonian,follows,Lutetian
rhizosphere,facet of,Fertilization
fertilizers,use,agricultural
Loess Plateau,country,China
fungi,has parts of the class,bacteria
bacterial network,opposite of,fungal network
fungal network,opposite of,bacterial network
nifH,instance of,gene
NIT-6,instance of,gene
narI,instance of,gene
amoC,instance of,gene
norC,instance of,gene
gdhA,instance of,gene
Sphingomonadaceae,instance of,keystone families
Sporichthyaceae,instance of,keystone families
Mortierellaceae,instance of,keystone families
rhizosphere,instance of,taxa
agricultural soils,part of,agroecosystem
agroecosystem,has part,agricultural soils
aortopathy,has cause,Marfan syndrome
Marfan syndrome,has effect,aortopathy
MFS,has part,TGF-β2
aortic valve,connects with,aortic root
aortic root,connects with,aortic valve
heart,has part,aorta
aorta,part of,heart
Stress,has effect,mental health
mental health,has cause,Stress
males,opposite of,females
females,opposite of,males
terrified-sound stress,subclass of,psychological stress
terrified-sound stress,facet of,mice
control,subclass of,mice
stress group,subclass of,mice
Sucrose preference test,facet of,depressive-like behavior
locomotor,has part,exploratory
exploratory,subclass of,locomotor
memory,subclass of,Spatial learning
ELISA,use,quantification
SYN,instance of,protein
PSD95,instance of,protein
BDNF,instance of,protein
depressive-like,has cause,Terrified-sound stress
synaptic plasticity,subclass of,protein
hormonal,has effect,stress
CYP2C19,instance of,alleles
genotypic,has effect,allelic
random sampling,subclass of,recruited
Allele-specific touchdown PCR,facet of,alleles
allele,part of,genotype
genotype,has effect,phenotypic
CYP2C19*2,instance of,allele frequency
CYP2C19*3,instance of,allele frequency
CYP2C19*17,instance of,allele frequency
IM phenotype,instance of,genotype
